Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
ASSORTED GTX 750TI DDR5 2GB (MIX) (ws),11562,Graphics card,1.000,2900.00,0.000,0.00,0.00,2900.00,0.00,2900.00,100.00%,0.00
ASSORTED INTEL MOTHERBOARD 6TH TO 10TH GEN. (10TH GEN),11559,Motherboard,1.000,2850.00,0.000,0.00,0.00,2850.00,0.00,2850.00,100.00%,0.00
ASSORTED INTEL MOTHERBOARD 6TH TO 10TH GEN. (6TH TO 7TH GEN),10661,Motherboard,3.000,6179.00,0.000,0.00,0.00,6179.00,1200.00,4979.00,80.58%,0.00
ASSORTED INTEL MOTHERBOARD 6TH TO 10TH GEN. (8TH TO 9TH GEN),10662,Motherboard,6.000,13572.00,0.000,0.00,0.00,13572.00,2400.00,11172.00,82.32%,0.00
ASSORTED RX580 DDR5 8GB (MIX) (discount),11560,Graphics card,5.000,26296.00,1.000,4899.00,0.00,21397.00,8448.04,12948.96,60.52%,0.00
ASSORTED SSD 120GB - 128GB (MIX) (discount),11477,Ssd & storage,32.000,23000.00,0.000,0.00,0.00,23000.00,0.00,23000.00,100.00%,0.00
ASSORTED SSD 120GB - 128GB (MIX) (ws),11563,Ssd & storage,5.000,3272.00,1.000,900.00,0.00,2372.00,0.00,2372.00,100.00%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (DISCOUNT),10034,Ssd & storage,8.000,13000.00,0.000,0.00,0.00,13000.00,0.00,13000.00,100.00%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S0U2NYABC20859),11069,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S1GFNSAFA74528),11055,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S1GFNSBF504414),11058,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S1ZMNXAH322123),11063,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S1ZRNX0H576446),11056,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S25ZNXAG649954),11065,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S28UNXAG606068),11057,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S28UNXAG612667),11059,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S28UNXAG709017),11061,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S28ZNSAG516371),10847,Ssd & storage,2.000,1300.00,0.000,0.00,0.00,1300.00,1100.00,200.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S2YNNB0H634752),11060,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (S2YPNB0H923661),11054,Ssd & storage,1.000,650.00,0.000,0.00,0.00,650.00,550.00,100.00,15.38%,0.00
ASSORTED SSD 250GB - 256GB (MIX) (WS),10175,Ssd & storage,1.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Asus A320 Motherboard  used (discount),10385,Motherboard,6.000,14247.00,0.000,0.00,0.00,14247.00,9000.00,5247.00,36.83%,0.00
Asus A320 Motherboard  used (ws),11117,Motherboard,4.000,9400.00,1.000,2300.00,0.00,7100.00,4500.00,2600.00,36.62%,0.00
asus geforce rtx 4060 8gb excluded TAX %,10544,Graphics card,2.000,44400.00,0.000,0.00,0.00,44400.00,33866.14,10533.86,23.72%,0.00
ASUS H610M R DDR4 (SAM0CS06U4857LC),11801,Motherboard,1.000,5000.00,0.000,0.00,0.00,5000.00,0.00,5000.00,100.00%,0.00
ASUS H610M R DDR4 (SAM0CS06U487ZVP),11802,Motherboard,1.000,5000.00,0.000,0.00,0.00,5000.00,0.00,5000.00,100.00%,0.00
ASUS H610M R DDR4 (SAM0CS06U488AWX),11800,Motherboard,1.000,5000.00,0.000,0.00,0.00,5000.00,0.00,5000.00,100.00%,0.00
Asus prime used motherboard 3d warranty,10532,Motherboard,1.000,2200.00,0.000,0.00,0.00,2200.00,1800.00,400.00,18.18%,0.00
ATHLON 200GE AMD PROCESSOR (athlon 3000g),10568,Processor,1.000,7500.00,0.000,0.00,0.00,7500.00,1900.00,5600.00,74.67%,0.00
athlon 200ge brandnew (discount),10042,No category,3.000,8700.00,0.000,0.00,0.00,8700.00,4386.57,4313.43,49.58%,0.00
athlon 200ge brandnew (wraith fan),10444,No category,1.000,3200.00,0.000,0.00,0.00,3200.00,0.00,3200.00,100.00%,0.00
athlon 200ge brandnew (ws),10687,No category,4.000,9377.00,0.000,0.00,0.00,9377.00,5848.00,3529.00,37.63%,0.00
"athlon 200ge set, ramsta mobo, 20 inches nvsion, 8gb ram 3200mhz",10708,No category,3.000,34200.00,0.000,0.00,0.00,34200.00,22043.52,12156.48,35.55%,0.00
athlon 200ge used,10245,Processor,2.000,4450.00,0.000,0.00,0.00,4450.00,2700.00,1750.00,39.33%,0.00
athlon 3000/256ssd/8gbskhtar/x50/a4techset,10457,computer set & pisowifi,1.000,28200.00,0.000,0.00,0.00,28200.00,21786.46,6413.54,22.74%,0.00
athlon 3000/a520/8gb sktr/256ssd/x50/20nvision,10494,composite items,2.000,25000.00,0.000,0.00,0.00,25000.00,16189.50,8810.50,35.24%,0.00
athlon 3000g,10169,best seller,34.000,106036.00,1.000,3100.00,1071.21,101864.79,60970.32,40894.47,40.15%,910.53
athlon cpu fan original,10295,service unit / pisonet maintenance,2.000,2.00,0.000,0.00,0.00,2.00,2.00,0.00,0.00%,0.00
AULA MECHANICAL KEYBOARD ASSORTED BLACK (DISCOUNT),10361,Keyboard & mouse,3.000,2670.00,0.000,0.00,0.00,2670.00,0.00,2670.00,100.00%,0.00
AULA MECHANICAL KEYBOARD ASSORTED BLACK (WS),10963,Keyboard & mouse,2.000,1681.00,0.000,0.00,0.00,1681.00,0.00,1681.00,100.00%,0.00
AULA SC580 WIRELESS MOUSE BLACK & WHITE (WMSC580BW250301551),10565,Keyboard & mouse,1.000,1300.00,0.000,0.00,0.00,1300.00,0.00,1300.00,100.00%,0.00
AULA SC580 WIRELESS MOUSE BLACK & WHITE (WMSC580BW250301589),11759,Keyboard & mouse,1.000,1350.00,0.000,0.00,0.00,1350.00,0.00,1350.00,100.00%,0.00
AULA SC580 WIRELESS MOUSE BLACK & WHITE (WMSC580PW250200360),11763,Keyboard & mouse,2.000,2650.00,0.000,0.00,0.00,2650.00,0.00,2650.00,100.00%,0.00
AVR SECURE (DISCOUNT),10742,"Power supply, AVR & UPS",110.000,35200.00,0.000,0.00,3.78,35196.22,23312.47,11883.75,33.76%,89.57
AVR SECURE (WS),10743,"Power supply, AVR & UPS",14.000,7700.00,0.000,0.00,0.00,7700.00,3164.42,4535.58,58.90%,0.00
AVR SECURE (discount),10742,"Power supply, AVR & UPS",180.000,54398.00,0.000,0.00,156.83,54241.17,40854.20,13386.97,24.68%,52.01
B&C ew81 PISOWIFI,10174,No category,2.000,14800.00,0.000,0.00,0.00,14800.00,7798.96,7001.04,47.30%,0.00
B150M MSI GAMING PRO,10497,Motherboard,17.000,31290.00,0.000,0.00,0.00,31290.00,25500.00,5790.00,18.50%,0.00
B250 biostar,10234,Motherboard,1.000,2300.00,0.000,0.00,45.10,2254.90,1600.00,654.90,29.04%,0.00
B365M PRO-VH MSI 2ND HAND (discount),11557,Motherboard,1.000,2800.00,0.000,0.00,0.00,2800.00,0.00,2800.00,100.00%,0.00
b450 mhp biostar,10282,Motherboard,13.000,45587.00,0.000,0.00,0.00,45587.00,37245.00,8342.00,18.30%,395.89
B450M BIOSTAR MOTHERBOARD (DISCOUNT),10128,Motherboard,1.000,3200.00,0.000,0.00,0.00,3200.00,0.00,3200.00,100.00%,0.00
B450M DS3H V2 Gigabyte 4 slots ram,10128,Motherboard,19.000,89185.00,1.000,4799.00,1354.27,83031.73,67644.40,15387.33,18.53%,427.98
B450M MSI,11545,No category,2.000,7500.00,0.000,0.00,0.00,7500.00,0.00,7500.00,100.00%,0.00
B550M ASROCK PHANTOM GAMING 4 MOTHERBOARD (DISCOUNT),10070,Big Letter,1.000,6500.00,0.000,0.00,0.00,6500.00,0.00,6500.00,100.00%,0.00
B550M K GIGABYTE MOTHERBOARD (DISCOUNT),10386,Motherboard,12.000,152500.00,0.000,0.00,0.00,152500.00,75844.68,76655.32,50.27%,0.00
B560M PRO MSI INTEL MOTHERBOARD (DISCOUNT),10243,Motherboard,1.000,2900.00,0.000,0.00,0.00,2900.00,0.00,2900.00,100.00%,0.00
Back Plate,10789,Accessories,1.000,150.00,0.000,0.00,0.00,150.00,0.00,150.00,100.00%,0.00
BACKPLATE UNIVERSAL IO SHIELD,10413,Accessories,1.000,149.00,0.000,0.00,14.90,134.10,0.00,134.10,100.00%,14.75
benjie sawol pisowifi 1 month free services/ 15 days major parts,10582,No category,1.000,7500.00,0.000,0.00,0.00,7500.00,2126.78,5373.22,71.64%,0.00
BenQ 24 inches hdmi,10105,Monitors & TV,1.000,2950.00,0.000,0.00,25.21,2924.79,2450.00,474.79,16.23%,0.00
BLOWER FAN,11430,Accessories,5.000,3900.00,0.000,0.00,0.00,3900.00,0.00,3900.00,100.00%,0.00
BLUETOOTH DONGLE,10710,Accessories,21.000,7150.00,1.000,500.00,0.00,6650.00,4616.20,2033.80,30.58%,0.00
"bluetooth dongle, music, printer reciever csr 4.0",10175,Network Accessories,12.000,2238.00,0.000,0.00,0.00,2238.00,1200.00,1038.00,46.38%,0.00
Bluetooth mouse logitech,000002,Keyboard & mouse,5.000,1250.00,0.000,0.00,2.07,1247.93,850.00,397.93,31.89%,0.00
BLUETOOTH USB DONGLE 2.0 (discount),11614,Accessories,8.000,1400.00,0.000,0.00,0.00,1400.00,0.00,1400.00,100.00%,0.00
Bnc connector male and female,10222,Network Accessories,6.000,150.00,0.000,0.00,0.00,150.00,60.00,90.00,60.00%,0.00
bong a10/pisonet stand /asus fm2+/8gb smsng/sukai120/19 dell,10505,No category,3.000,29700.00,0.000,0.00,0.00,29700.00,14748.03,14951.97,50.34%,0.00
Bonjovi corei5 6th gen/ 22 HP monitor/stx360,10738,No category,1.000,11200.00,0.000,0.00,0.00,11200.00,8785.82,2414.18,21.56%,0.00
bonsoy,10148,No category,1.000,21500.00,0.000,0.00,0.00,21500.00,13593.04,7906.96,36.78%,0.00
BUNDLE A8 7500 FM2+ GIGABYTE/ASUS MOTHERBOARD,10381,Processor,89.000,154730.70,4.000,7696.70,0.00,147034.00,83948.78,63085.22,42.91%,0.00
BUNDLE: RYZEN 3 2200G WITH A320M MOBO & 8GB RAM (discount),10150,computer parts,2.000,2400.00,0.000,0.00,0.00,2400.00,0.00,2400.00,100.00%,0.00
BUNDLE: RYZEN 3 2200G WITH A320M MOBO & 8GB RAM (ws),11549,computer parts,2.000,11600.00,0.000,0.00,0.00,11600.00,0.00,11600.00,100.00%,0.00
Button pisonet,10212,Vendo & pisonet parts Accessories,20.000,410.00,0.000,0.00,38.93,371.07,200.00,171.07,46.10%,4.55
CABLE TESTER NETWORK BOSHENG,10035,Cables & wirings,3.000,516.84,0.000,0.00,3.40,513.44,286.22,227.22,44.25%,0.00
casing cvs used,10645,Casing,4.000,1200.00,0.000,0.00,0.00,1200.00,600.00,600.00,50.00%,0.00
Cctv Psu centralized cabinet,10046,CCTV & camera,1.000,1549.00,0.000,0.00,0.00,1549.00,1100.00,449.00,28.99%,0.00
"CENTRALIZED PSU 3 AMPERES CCTV, PISOWIFI",10554,Vendo & pisonet parts Accessories,6.000,1740.00,0.000,0.00,0.00,1740.00,600.00,1140.00,65.52%,0.00
"Centralized PSU AC DC , 5 amperes 12volts",10126,Vendo & pisonet parts Accessories,57.000,20355.00,1.000,350.00,114.80,19890.20,13125.77,6764.43,34.01%,58.75
centralized psu vendo 3 amperes,10562,Vendo & pisonet parts Accessories,12.000,2280.00,0.000,0.00,1.95,2278.05,1800.00,478.05,20.99%,1.88
CERVVO B450M MATX Motherboard DDR4 2 Socket,10435,Motherboard,3.000,13200.00,0.000,0.00,0.00,13200.00,7817.10,5382.90,40.78%,0.00
Cervvo h510 - vd4 intel 10th gen,10164,Motherboard,1.000,2900.00,0.000,0.00,58.00,2842.00,2200.00,642.00,22.59%,0.00
Cmos Battery,10094,Accessories,49.000,1225.00,0.000,0.00,52.50,1172.50,717.96,454.54,38.77%,51.98
CMOS BATTERY CR2032 LITHIUM,10490,computer parts,103.000,6401.00,1.000,35.00,0.00,6366.00,4258.86,2107.14,33.10%,0.00
Coby 19 inch monitor used 3d warranty (discount),10964,No category,12.000,15600.00,1.000,1300.00,0.00,14300.00,9891.53,4408.47,30.83%,0.00
Coby 19 inch monitor used 3d warranty (ws),10965,No category,26.000,30000.00,0.000,0.00,0.00,30000.00,23400.00,6600.00,22.00%,0.00
Coin Door Metal Pisonet / Pisowifi / Videoke,10377,Vendo & pisonet parts Accessories,9.000,1341.00,0.000,0.00,0.00,1341.00,932.67,408.33,30.45%,0.00
coinbox ambago / take all,10517,composite items,1.000,1500.00,0.000,0.00,0.00,1500.00,400.00,1100.00,73.33%,0.00
coinbox universal coinslot build for pisonet,10326,computer set & pisowifi,20.000,32400.02,0.000,0.00,1000.00,31400.02,26199.40,5200.62,16.56%,818.18
COMFAST CF E314N V2 AP OUTDOOR ANTENNA (DISCOUNT),10268,Vendo & pisonet parts Accessories,11.000,19095.00,0.000,0.00,0.00,19095.00,15115.79,3979.21,20.84%,0.00
COMFAST CF E314N V2 AP OUTDOOR ANTENNA (WS),10770,Vendo & pisonet parts Accessories,1.000,4137.00,0.000,0.00,0.00,4137.00,1373.95,2763.05,66.79%,0.00
COMFAST CF EW81 OUTDOOR AP 300MBPS ANTENNA (DISCOUNT),11038,Vendo & pisonet parts Accessories,17.000,33321.92,0.000,0.00,1520.39,31801.53,24882.56,6918.97,21.76%,1398.29
comfast cf wa350 directional outdoor 1300 mbps AP,10309,Vendo & pisonet parts Accessories,5.000,19496.00,0.000,0.00,380.00,19116.00,15750.00,3366.00,17.61%,376.20
Comfast CF-EW85,10110,Vendo & pisonet parts Accessories,4.000,10398.00,0.000,0.00,0.00,10398.00,7560.00,2838.00,27.29%,0.00
comfast CF-WU815 Wifi usb dongle 150mbps,10068,best seller,60.000,11697.90,0.000,0.00,70.40,11627.50,7061.46,4566.04,39.27%,112.08
comfast ew73 outdoor ap 300mbps,10416,best seller,13.000,20787.00,0.000,0.00,0.00,20787.00,18363.80,2423.20,11.66%,0.00
comlink 100 mbps / HTB - 3100AB 1 pair mediacon 5v 2a,10438,No category,7.000,2765.00,0.000,0.00,0.00,2765.00,1793.96,971.04,35.12%,0.00
"comlink htb - gs03ab 1 pair mediacon, gigabit A/B  5v 2a",10570,No category,5.000,3135.00,0.000,0.00,0.00,3135.00,1735.50,1399.50,44.64%,0.00
COMLINK UTP CABLE CAT6 OUTDOOR (meter),10383,Cables & wirings,1315.000,20345.00,0.000,0.00,285.84,20059.16,10436.60,9622.56,47.97%,239.38
COMLINK UTP CABLE CAT6 OUTDOOR (roll / 300mtrs.),10398,Cables & wirings,9.000,19680.00,0.000,0.00,0.00,19680.00,14391.00,5289.00,26.88%,0.00
COMLINK UTP CABLE CAT6 OUTDOOR (ws),10758,Cables & wirings,2.000,5000.00,0.000,0.00,0.00,5000.00,3198.00,1802.00,36.04%,0.00
Comlink utp indoor / roll (10 / 1),10390,Network Accessories,8.000,14129.00,0.000,0.00,357.78,13771.22,10385.00,3386.22,24.59%,0.00
Comlink utp indoor cat6,10420,No category,41.000,328.00,0.000,0.00,3.20,324.80,0.00,324.80,100.00%,29.52
"comset athlon 3000g, a520 gigab/1x8 ramsta/20 monitor",10325,computer set & pisowifi,6.000,73200.00,0.000,0.00,0.00,73200.00,59400.00,13800.00,18.85%,0.00
"comset ryzen 5 5600g, a520 biostar/2x8 ram/20 monitor",10324,computer set & pisowifi,1.000,20000.00,0.000,0.00,0.00,20000.00,15000.00,5000.00,25.00%,0.00
Core i3 6th gen lenovo - 7days warranty,10223,Laptop,2.000,19900.00,0.000,0.00,0.00,19900.00,15800.00,4100.00,20.60%,0.00
Core i3 7th gen lenovo 7d warranty,10224,Laptop,1.000,10500.00,0.000,0.00,0.00,10500.00,8300.00,2200.00,20.95%,0.00
core i5 12th gen/gigabyte h610/16gb ramsta/meteor30,10493,composite items,1.000,38000.00,0.000,0.00,0.00,38000.00,24435.00,13565.00,35.70%,0.00
core i5 2nd gen,10279,Processor,2.000,2280.00,0.000,0.00,0.00,2280.00,1000.00,1280.00,56.14%,0.00
core i5 3rd gen,10271,Processor,3.000,4500.00,0.000,0.00,0.00,4500.00,2700.00,1800.00,40.00%,0.00
core i5 4th gen pc partner 2nd hand,10242,Motherboard,6.000,24686.00,0.000,0.00,0.00,24686.00,15930.00,8756.00,35.47%,0.00
core i5 4th gen processor (discount),10563,Processor,1.000,1900.00,0.000,0.00,0.00,1900.00,1000.00,900.00,47.37%,0.00
core i5 4th gen set dell/ 19 inches dell drix,10540,No category,1.000,9000.00,0.000,0.00,0.00,9000.00,3946.72,5053.28,56.15%,0.00
core i5 6th gen 3d warranty (discount),10235,Processor,6.000,20694.00,0.000,0.00,0.00,20694.00,10800.00,9894.00,47.81%,0.00
core i5 6th gen 3d warranty (ws),10219,Processor,4.000,12661.00,0.000,0.00,64.98,12596.02,8800.00,3796.02,30.14%,0.00
core i5 7th gen - used 5d warranty (discount),11809,No category,4.000,14200.00,0.000,0.00,0.00,14200.00,7000.00,7200.00,50.70%,0.00
core i5 7th gen - used 5d warranty (ws),11810,No category,1.000,2500.00,0.000,0.00,0.00,2500.00,0.00,2500.00,100.00%,0.00
Core i5 7th gen 15.6 inch,10225,Laptop,1.000,13000.00,0.000,0.00,0.00,13000.00,8900.00,4100.00,31.54%,0.00
core i5 asus 4th gen 1150 socket motherbard only (Bundle),10685,Motherboard,3.000,12327.00,0.000,0.00,0.00,12327.00,6000.00,6327.00,51.33%,0.00
core i5 asus 4th gen 1150 socket motherbard only (Mobo only),10499,Motherboard,2.000,5100.00,0.000,0.00,0.00,5100.00,2000.00,3100.00,60.78%,0.00
core i5 laptop hp Probook,10228,Laptop,6.000,56612.00,1.000,9206.00,0.00,47406.00,37500.00,9906.00,20.90%,0.00
Core i7 4790 processor (Discount),10759,Processor,1.000,9650.00,0.000,0.00,0.00,9650.00,3900.00,5750.00,59.59%,0.00
Core i7 4790 processor (Ws),10760,Processor,1.000,3000.00,0.000,0.00,0.00,3000.00,2700.00,300.00,10.00%,270.00
core i7 kenwell,10529,composite items,1.000,6000.00,0.000,0.00,0.00,6000.00,3500.00,2500.00,41.67%,0.00
corei5 10th / 16gb ram/ 256 ssd/20 nvision /reign,10703,discounted desktop,1.000,25000.00,0.000,0.00,0.00,25000.00,16505.66,8494.34,33.98%,0.00
"corei5 4th gen 19 inches monitor / 10,300 pesos",10333,computer set & pisowifi,1.000,10300.00,0.000,0.00,0.00,10300.00,7000.00,3300.00,32.04%,0.00
"corei5 4th gen 20 inches monitor / 10,500 pesos",10320,computer set & pisowifi,3.000,31500.00,0.000,0.00,0.00,31500.00,24900.00,6600.00,20.95%,0.00
corei5 6th gen/256ssd/8gb/x50/stx200,10454,discounted desktop,3.000,36000.00,0.000,0.00,0.00,36000.00,0.00,36000.00,100.00%,0.00
corei5 unit,10563,best seller,1.000,2201.00,0.000,0.00,0.00,2201.00,0.00,2201.00,100.00%,0.00
corei7 12th/h610/16gb/256/n2455 100hz,10481,computer set & pisowifi,1.000,34900.00,0.000,0.00,0.00,34900.00,26911.83,7988.17,22.89%,0.00
corei7 3rd gen/8gbram/256ssd/x50/generic psu/20nvision/stx200,10456,No category,1.000,12000.00,0.000,0.00,0.00,12000.00,7957.62,4042.38,33.69%,0.00
Cougar psu 2nd hand,10501,composite items,2.000,1650.00,0.000,0.00,0.00,1650.00,300.00,1350.00,81.82%,0.00
COUPLER AC/AC FIBER,10355,Network Accessories,3.000,267.00,0.000,0.00,17.80,249.20,30.00,219.20,87.96%,14.56
cpu fan A series fm2 New Original  Heat Pipe Pure Copper,10389,Cpu fan & rgb fans,4.000,1396.00,0.000,0.00,0.00,1396.00,482.28,913.72,65.45%,0.00
Cpu fan BS-01 rgb,10017,Cpu fan & rgb fans,5.000,3400.00,0.000,0.00,27.20,3372.80,1920.00,1452.80,43.07%,0.00
crimp services w/ rj45,10147,No category,473.000,3313.22,2.000,14.00,38.64,3260.58,336.00,2924.58,89.70%,28.89
CRIMPING SERVICE,10972,service unit / pisonet maintenance,116.000,812.00,0.000,0.00,0.00,812.00,0.00,812.00,100.00%,0.00
CRUCIAL DDR 5  3200MHZ 16GB RAM (DISCOUNT),11818,Ram,3.000,4800.00,0.000,0.00,0.00,4800.00,0.00,4800.00,100.00%,0.00
customized vendo box,10516,Vendo & pisonet parts Accessories,1.000,800.00,0.000,0.00,0.00,800.00,400.00,400.00,50.00%,0.00
Dahua 16 channel NVR,10537,CCTV & camera,1.000,5865.00,0.000,0.00,0.00,5865.00,4300.00,1565.00,26.68%,0.00
dahua 8 channel cctv kit hdcvi free 80mtrs wire,10407,CCTV & camera,1.000,9901.00,0.000,0.00,990.10,8910.90,7999.00,911.90,10.23%,980.20
DAHUA HERO 1 PAN TILT WIFI CCTV CAMERA (( H2A ) 2MP),10047,CCTV & camera,2.000,2400.00,0.000,0.00,0.00,2400.00,2090.90,309.10,12.88%,0.00
DAHUA HERO 1 PAN TILT WIFI CCTV CAMERA (( H3A ) 3MP),10515,CCTV & camera,8.000,10300.00,0.000,0.00,0.00,10300.00,8363.60,1936.40,18.80%,0.00
DAHUA HERO 1 PAN TILT WIFI CCTV CAMERA (( H4A ) 4MP),10804,CCTV & camera,1.000,1370.00,0.000,0.00,0.00,1370.00,1045.45,324.55,23.69%,0.00
DAHUA HERO 1 PAN TILT WIFI CCTV CAMERA (( H5A ) 5MP),10805,CCTV & camera,4.000,5065.00,0.000,0.00,0.00,5065.00,4181.80,883.20,17.44%,0.00
dahua IR full color cam dome type (no audio dome),10534,CCTV & camera,7.000,13993.00,0.000,0.00,0.00,13993.00,12250.00,1743.00,12.46%,0.00
dahua IR turret type (no audio turret),10535,CCTV & camera,8.000,17592.00,0.000,0.00,0.00,17592.00,14000.00,3592.00,20.42%,0.00
dahua poe switch 8 ports,10538,CCTV & camera,3.000,6700.00,0.000,0.00,0.00,6700.00,5100.00,1600.00,23.88%,0.00
DARKFLASH ATX DUAL CHAMBER GAMING CASE V2 BLACK (DISCOUNT),10076,Casing,1.000,4500.00,0.000,0.00,0.00,4500.00,0.00,4500.00,100.00%,0.00
davao price core i5 10th gen,10515,composite items,1.000,17000.00,0.000,0.00,0.00,17000.00,14785.38,2214.62,13.03%,0.00
DC 12V 1 Female to 8 Male Splitter Power Supply Cable,10356,CCTV & camera,1.000,87.00,0.000,0.00,0.00,87.00,41.43,45.57,52.38%,0.00
DC barrel jack adaptor male & female,10226,Network Accessories,8.000,140.00,0.000,0.00,0.00,140.00,40.00,100.00,71.43%,2.27
DDR3 8GB ASSORTED RAM USED 1 WEEK WARRANTY (discount),10673,composite items,3.000,1650.00,0.000,0.00,0.00,1650.00,1500.00,150.00,9.09%,0.00
DDR3 8GB ASSORTED RAM USED 1 WEEK WARRANTY (discount),10673,composite items,23.000,14950.00,0.000,0.00,0.00,14950.00,5290.00,9660.00,64.62%,0.00
DDR3 8GB ASSORTED RAM USED 1 WEEK WARRANTY (ws),10674,composite items,3.000,1396.00,0.000,0.00,0.00,1396.00,0.00,1396.00,100.00%,0.00
DDR4 8GB ASSORTED RAM USED 1 WEEK WARRANTY (4gb),10677,composite items,2.000,600.00,0.000,0.00,0.00,600.00,1000.00,-400.00,-66.67%,0.00
DDR4 8GB ASSORTED RAM USED 1 WEEK WARRANTY (discount),10680,composite items,19.000,14250.00,0.000,0.00,0.00,14250.00,14250.00,0.00,0.00%,0.00
Dell 24 inches,10102,Monitors & TV,11.000,30100.00,0.000,0.00,41.95,30058.05,22000.00,8058.05,26.81%,0.00
desktop athlon 3000g /a520 biostar/8gb skhtar/256ramsta/x10/,10341,computer set & pisowifi,1.000,12200.00,0.000,0.00,0.00,12200.00,8300.00,3900.00,31.97%,0.00
Desktop Computer Caseless Tray with Video Card Holder,10374,Vendo & pisonet parts Accessories,17.000,1683.00,0.000,0.00,0.00,1683.00,389.64,1293.36,76.85%,54.00
DH - HAC - HDW1200TRQN - A,10573,CCTV & camera,2.000,2000.00,0.000,0.00,0.00,2000.00,1500.00,500.00,25.00%,0.00
dh - xvr4104hs - I,10572,CCTV & camera,1.000,2100.00,0.000,0.00,0.00,2100.00,1600.00,500.00,23.81%,0.00
dhala 2 sets athlon pisonet repeat,10522,composite items,1.000,25000.00,0.000,0.00,0.00,25000.00,19122.80,5877.20,23.51%,0.00
discount amount,10574,best seller,84.000,23730.00,0.000,0.00,0.00,23730.00,0.00,23730.00,100.00%,0.00
display port cable upto 240hz,10194,Cables & wirings,40.000,9662.00,0.000,0.00,0.00,9662.00,4417.17,5244.83,54.28%,0.00
display port to dvi d 24+1,10196,Cables & wirings,3.000,862.00,0.000,0.00,29.60,832.40,510.00,322.40,38.73%,24.22
display port to hdmi 1.8 mtr. 1080p,10195,Cables & wirings,21.000,4725.00,0.000,0.00,72.60,4652.40,2835.00,1817.40,39.06%,70.49
display port to vga adapter,10086,converter cables & others,3.000,558.00,0.000,0.00,0.00,558.00,285.00,273.00,48.92%,0.00
display port to vga cable,10159,converter cables & others,16.000,3120.00,0.000,0.00,0.00,3120.00,2080.00,1040.00,33.33%,0.00
dodz jacolbe pisowifi vendo 15 days warranty on parts,10388,Vendo & pisonet parts Accessories,1.000,6600.00,0.000,0.00,0.00,6600.00,3843.18,2756.82,41.77%,0.00
dong LION 2 sets r5 5600G w / box / 22 nvsion,10526,composite items,1.000,42000.00,0.000,0.00,0.00,42000.00,29434.57,12565.43,29.92%,0.00
dong ryzen 5600/ a520 biostar/ 256gb ssd/ x50/22 nvision,10491,No category,1.000,19800.00,0.000,0.00,0.00,19800.00,13700.61,6099.39,30.81%,0.00
DP TO DP 1.5 (DISCOUNT),11594,Cables & wirings,32.000,8480.00,1.000,265.00,0.00,8215.00,0.00,8215.00,100.00%,0.00
DP TO HDMI ADAPTOR (discount),11598,Cables & wirings,6.000,1620.00,0.000,0.00,0.00,1620.00,0.00,1620.00,100.00%,0.00
DUAL COINSLOT PISONET (discount),11108,Vendo & pisonet parts Accessories,22.000,48900.00,0.000,0.00,49.00,48851.00,21527.63,27323.37,55.93%,49.02
Dual Monitor Mount Bracket With Laptop Stand Tray Adjustable Arm,10371,Accessories,2.000,3877.00,0.000,0.00,0.00,3877.00,2433.50,1443.50,37.23%,0.00
DUAL MONITOR ROTATABLE BRACKET ANSEN,10372,Accessories,1.000,1399.00,0.000,0.00,0.00,1399.00,899.90,499.10,35.68%,0.00
DUPONT WIRE,10098,Vendo & pisonet parts Accessories,87.000,435.00,0.000,0.00,1.10,433.90,170.00,263.90,60.82%,0.92
